B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.059690323	0.16272005	0.062249135	0.33010432	0.049820986	0.2917274	0.043687813	8.0134277e-10	-0.02777777768211296
0.021839261	0.1696609	0.046303675	0.43287262	0.022173546	0.19276632	0.09188157	0.022502081	-0.026794920137773494
0.02278749	0.2166244	0.0021037976	0.5485948	0.06228991	0.13013674	0.0074052135	0.010057738	-0.027319396569582537
0.036262654	0.1325821	0.13790171	0.16147256	0.025840372	0.39456883	0.11137184	5.1752613e-10	-0.027777777740244033
0.00476773	0.29187354	0.015772738	0.3685469	0.085037224	0.20738387	4.784765e-10	0.026617974	-0.027523963151419736
0.03787239	0.21164201	0.0039489265	0.58720934	0.031692363	0.08299924	0.036732253	0.007903376	-0.027179138301400497
0.05091927	0.19499578	0.05072502	0.21975382	0.024185624	0.3809399	0.07448111	0.0039994996	-0.02737047457778319
0.01396236	0.16954955	0.02111469	0.53574765	0.023773229	0.23585255	4.668251e-10	4.6456802e-10	-0.027777777764804844
0.077644065	0.19830732	0.05567909	0.45153666	0.019701995	0.16895705	0.022986494	0.005187363	-0.026972241877876585
0.03285511	0.21078181	3.653492e-10	0.58004093	0.030048547	0.14627364	3.6504688e-10	3.6482345e-10	-0.027777777753805147
0.006196421	0.18178669	0.065271325	0.34286702	0.05652903	0.29645243	0.029361319	0.021535762	-0.027510888481962172
0.040738173	0.20504114	0.008522521	0.5611837	0.0103159	0.14596519	0.02037624	0.007857177	-0.027137603705942533
0.029966349	0.074736215	0.0074059754	0.7976289	3.889367e-10	0.03249806	0.057764523	3.8849185e-10	-0.02777777775449441
0.058807362	0.12280979	0.06955455	0.5367537	0.014838107	0.09467929	0.102557145	3.1522865e-10	-0.027777777740702246
0.053218573	0.20376976	0.04848942	0.3897051	0.017640717	0.2364483	0.05072812	5.8017613e-10	-0.027777777716025485
0.041030113	0.17847097	0.020820618	0.4609952	0.04442374	0.21119565	0.04306375	5.902303e-10	-0.027777777729343346
0.029294796	0.27118257	0.009628078	0.25839362	0.13330042	0.23734984	0.028590797	0.032259893	-0.02588768380894412
0.028081441	0.27168304	0.031788226	0.28924388	0.10348549	0.23376071	0.011162374	0.030794907	-0.026048247049735802
2.864605e-10	0.20627254	0.042067677	0.4570271	0.11598122	0.16110191	0.01754952	2.8618305e-10	-0.027777777777777776
0.046496242	0.07797998	0.011955728	0.86356807	2.2544841e-10	2.2577115e-10	2.2520344e-10	2.2458703e-10	-0.02777777775689287
0.028235298	0.1308993	0.037075363	0.35636932	0.09924503	0.32923394	6.276634e-10	0.018941673	-0.026708130214230668
7.193869e-10	0.22836694	0.046553105	0.28051826	0.07427637	0.30111465	0.06917064	7.151854e-10	-0.027777777777777776
6.7024836e-10	0.13318886	0.06717328	0.26325077	0.033923563	0.44875112	0.053712364	6.6856687e-10	-0.027777777777777776
0.048227478	0.21837814	0.017300328	0.26793358	0.12615314	0.2650972	0.023339376	0.03357078	-0.024539709669992096
3.797237e-10	0.15478005	0.030391911	0.35890657	0.11071951	0.29649508	0.0317962	0.016910791	-0.02777777776493492
0.031804275	0.22836807	0.021681279	0.4445001	0.057188656	0.17648834	0.012760772	0.027208535	-0.026047082318803528
0.038958658	0.066903815	2.7727573e-10	0.88768816	2.7698027e-10	2.7750274e-10	0.00644936	2.771235e-10	-0.027777777756185056
0.04398356	0.17750995	0.027053665	0.53472847	0.055114355	0.07278167	0.08882833	2.102913e-10	-0.027777777759279056
0.0051624184	0.15264651	1.3232746e-09	0.38255325	0.055101052	0.27531955	0.09743731	0.031779937	-0.027449655114738493
0.004913509	0.16459414	0.056094248	0.35199034	0.050041106	0.3286297	0.043736942	6.2452044e-10	-0.027777777771640602
0.06559613	0.16128454	0.08099236	0.12368466	0.04205166	0.45082712	0.067707084	0.00785639	-0.026747080218236376
0.034244955	0.21858838	0.020691136	0.42851445	0.08292276	0.18582106	1.9783468e-10	0.02921723	-0.025776692324628477
0.026395436	0.19871376	0.011621082	0.47821462	0.07639421	0.15963714	0.008039716	0.04098399	-0.025614197207638495
0.06375024	0.19095813	0.02668184	0.2943111	0.084366575	0.28082716	0.023759285	0.035345573	-0.023271200254402737
2.8273986e-10	0.1641072	0.025857031	0.43216026	0.06931576	0.21375093	0.02364286	0.07116593	-0.027777777737534887
0.043065943	0.12514804	0.017886575	0.7695872	3.091757e-10	0.03052015	0.0029550628	0.010836979	-0.026844368337965382
0.02547888	0.13254926	0.048183113	0.44536567	0.06305105	0.2012534	0.0742791	0.009839525	-0.027276377624313775
0.08315476	0.26523116	0.017167404	0.46557993	0.011212305	0.13256215	0.01878922	0.0063031386	-0.026729505822718304
0.040210623	0.14773998	0.11876214	0.22269554	0.058964763	0.3148898	0.07592846	0.02080876	-0.026104311370862818
0.038297433	0.20450966	0.13275559	0.12655087	0.09740396	0.343961	0.020723188	0.03579834	-0.02503580872245534
0.03886683	0.15614289	0.03145379	0.42520964	0.016629027	0.30241114	0.02298254	0.0063041467	-0.027287733381609853
1.2061294e-10	0.16460541	0.018721892	0.22473368	0.055515174	0.47036833	0.0076104277	0.05844513	-0.027777777763679297
0.045631662	0.21326402	0.020364989	0.3050566	0.07991227	0.2938643	0.020187989	0.021718182	-0.02579570429722081
0.014297627	0.19997206	0.017173756	0.24989218	0.104441114	0.3658681	0.020498775	0.027856393	-0.026981217144418954
0.013144	0.20343617	0.031527385	0.2944938	0.08739714	0.24420838	0.07445258	0.05134049	-0.026428138976657776
0.03427052	0.23013313	0.08712297	0.37094748	0.020011723	0.15897022	0.098543905	4.4877385e-10	-0.02777777774701835
4.4461737e-10	0.1565466	0.031004865	0.69886094	0.015075625	0.0865458	0.0119660245	4.4365334e-10	-0.027777777777777776
0.034179114	0.21869873	0.026736517	0.34890825	0.084700525	0.19128789	0.07059051	0.02489851	-0.026075759754337496
0.036885127	0.24747238	0.057112154	0.15299906	0.08068007	0.26913652	0.038973317	0.11674136	-0.019165737998272335
0.09106711	0.19546369	0.030108837	0.16279964	0.13464923	0.20324898	0.026734594	0.15592788	0.0006220250222758253
0.06260264	0.08137572	0.0028560685	0.7868814	1.8091408e-10	0.066284165	1.8197861e-10	1.8178886e-10	-0.02777777775501685
0.06259704	0.17652148	0.025515836	0.22005616	0.04465975	0.42133006	0.019013016	0.030306702	-0.023983558103053616
0.022825213	0.17831185	0.025636258	0.3613851	0.08454752	0.22336775	0.045957226	0.057969104	-0.025131463485339473
0.043111335	0.18675102	0.016060773	0.24437313	0.10490904	0.33666563	0.023833182	0.044295877	-0.023958468992846187
3.5899425e-10	0.2385354	0.026232755	0.25075302	0.12206614	0.2717839	0.036233764	0.054395057	-0.02777777773872275
