B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.039882258	0.23814967	0.054018218	0.10385068	0.04012725	0.25941297	0.26455894	9.0005914e-10	-0.027777777705984996
1.1187155e-09	0.1879615	0.08479413	0.2506431	0.069375314	0.29091302	0.116312906	1.1156555e-09	-0.027777777777777773
0.21178983	0.19158462	0.02302957	0.033603672	0.16694647	0.20367528	0.07045359	0.09891701	0.014121455686238828
0.07845918	0.24917422	0.057779927	6.8539885e-10	0.111678824	0.2746233	0.15648277	0.071801774	-0.016510761156607136
1.3842225e-09	0.35908338	0.03542292	0.08403351	0.04708646	0.36130667	0.11306709	1.3858975e-09	-0.027777777777777773
0.06299495	0.24724309	0.119814776	1.6534237e-09	0.11434854	0.2951325	0.16046618	1.6456965e-09	-0.02777777757043664
0.0016798252	0.08124514	0.059478063	0.06740678	0.1780149	0.39514154	0.19377977	0.023253914	-0.02769965275630611
1.6065432e-09	0.17137325	0.042828847	0.158764	0.08604324	0.34772706	0.19326362	1.6030169e-09	-0.027777777777777773
0.11654002	0.255775	0.052030202	0.07320881	0.14988111	0.18177257	0.060734514	0.11005769	-0.0021255269902701775
0.055477012	0.17072913	0.07098016	0.18022212	0.027856516	0.2892478	0.14146884	0.06401834	-0.020674685344977614
0.044754535	0.20154096	0.038788266	0.23123945	0.07809931	0.33559054	0.069986954	5.3975424e-10	-0.027777777729464877
0.035956897	0.2537028	0.0131312255	0.17294393	0.11117004	0.28641593	0.12667914	8.5255186e-10	-0.027777777716467538
0.0008897091	0.2676209	0.055370092	0.23055895	0.2002979	0.13240533	0.087202296	0.02565487	-0.02773212703518114
0.047134444	0.35248905	0.03573525	0.22911406	0.06354229	0.18326508	0.052687965	0.036031898	-0.02438109082078835
0.043751124	0.28931862	0.01683612	0.30535334	0.17217445	0.11199277	0.060573593	8.2221896e-10	-0.027777777705831768
0.015706927	0.36665207	0.0149475755	0.16782427	0.17560126	0.20013352	0.059134405	8.67058e-10	-0.027777777750540144
0.05925839	0.29796097	0.11199822	0.22067234	0.03732759	0.25994372	0.012838745	1.2596203e-09	-0.027777777628491634
0.022760425	0.331449	0.11367594	1.6097449e-09	1.6053847e-09	0.113328576	0.41878608	1.6122583e-09	-0.027777777704386407
0.037510693	0.32955188	0.021087633	0.12883805	0.064543806	0.21402709	0.20444085	1.3373492e-09	-0.027777777677447987
