B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.13192865	0.32256868	0.037817948	4.3928355e-10	0.17051958	0.16097885	0.03851443	0.1376719	0.008547958042092227
0.033398945	0.30496693	0.034099225	0.17988148	0.09722973	0.2054346	0.055884	0.08910504	-0.021825749117412176
0.07998349	0.35175902	0.014358574	0.2171244	0.10357652	0.11203396	0.048916403	0.07224764	-0.016220540994850575
0.06600388	0.29162937	0.023432128	0.3320363	0.074107766	0.10678539	0.029906249	0.076098874	-0.017732135882515536
0.03947878	0.27239668	0.014528088	0.40721503	0.086024575	0.06614519	0.0483727	0.06583887	-0.022579301249420577
0.007591486	0.27957225	0.003311426	0.42048138	0.06337296	0.16018042	0.026458519	0.039031606	-0.027185161996764743
0.061789487	0.20331396	2.5931643e-10	0.6374798	0.0049223374	0.04471446	0.028060488	0.019719614	-0.02534084811198174
0.065102056	0.24977434	0.018852023	0.4395285	0.047467824	0.15402104	0.011010153	0.014244048	-0.0259231441566524
0.06895901	0.1779768	0.008790114	0.56999046	0.023763865	0.07040533	0.0562383	0.023876138	-0.024484828099571015
0.023650542	0.21972005	0.025804423	0.37728146	0.1033714	0.120579325	0.058180362	0.07141242	-0.024399892900714495
0.028375905	0.24758087	0.02397143	0.33473068	0.12600684	0.06821388	0.03938894	0.13173151	-0.020301776151244677
0.071537584	0.17787184	0.03365358	0.27179915	0.17398521	0.059552312	0.09043057	0.12116975	-0.010441395440009774
0.032036096	0.23893932	0.022619862	0.2969907	0.14950088	0.09893836	0.09518346	0.06579134	-0.023562382409360497
0.059709206	0.31502783	0.027872723	0.22368102	0.14030659	0.1483292	0.033805326	0.05126805	-0.021655428660441175
0.0711655	0.30147773	0.03278632	0.17453875	0.16188666	0.0999578	0.043949246	0.1142379	-0.011518183232877774
0.06231776	0.2738263	0.037679575	0.112743855	0.267526	2.4076996e-10	0.0025458445	0.24336065	0.0025536033825102264
0.113550365	0.26476344	0.025735421	0.27896786	0.15789841	3.7560785e-10	0.029130094	0.1299544	0.0017349613289342238
0.023237396	0.2536797	0.044112235	0.30244848	0.15999429	0.0778842	0.004413087	0.13423058	-0.021539439492238417
0.11702447	0.34077486	0.03817729	3.6690076e-10	0.1879654	3.6525152e-10	0.055275276	0.26078278	0.033258155451475424
0.13669138	0.30010757	0.04341523	3.1892697e-10	0.23594801	0.06415259	0.033082828	0.18660249	0.023236125961294624
0.049539555	0.2550069	0.031145064	0.12884605	0.1511574	0.10155796	0.090826675	0.19192038	-0.008762477336515976
0.13007706	0.29869643	0.020227822	0.19087593	0.12323662	0.06125346	0.011456114	0.16417654	0.014933425510567026
0.042348932	0.2526911	0.016172148	0.26176333	0.08131793	0.22594765	0.025666632	0.0940923	-0.019808360948930577
0.024207685	0.24040742	0.013550709	0.523655	0.049193498	0.059319615	0.019519066	0.07014697	-0.024381586270848875
0.03777513	0.21937796	0.0064219455	0.49895227	0.06435669	0.1480679	0.004537713	0.02051042	-0.026228210214068577
0.99999607	5.1427264e-07	5.13512e-07	5.1434324e-07	5.135562e-07	5.154432e-07	5.1436194e-07	5.1452383e-07	-0.027776748734161933
0.014429495	0.1863565	0.021452062	0.5560891	0.06188865	0.09526767	0.013848946	0.050667536	-0.026315563863029134
0.0081723165	0.1233852	0.002006649	0.6942515	0.036664248	0.053700283	0.0067969384	0.075022876	-0.02655155640295327
0.059501205	0.1770913	0.016190901	0.302426	0.119928814	0.16663432	0.06323087	0.09499663	-0.016472949865899478
0.07474991	0.25048837	0.026033223	0.2576181	0.11800365	0.09132345	0.06996808	0.11181527	-0.011061415039526377
0.06648641	0.22341874	0.0062231394	0.17142732	0.12174962	0.20615797	0.10351919	0.10101764	-0.014345177317232977
0.049833164	0.22524287	0.028185343	0.19576325	0.1612912	0.13953854	0.094060905	0.10608472	-0.017204703278469617
0.05774124	0.24576034	0.06171694	0.2140442	0.13294178	0.15740475	0.055119246	0.07527157	-0.01908523020068418
0.091351494	0.307136	0.08563543	2.9114844e-10	0.21781291	0.07732381	0.06409301	0.15664737	0.0008421647835637862
0.044567402	0.21210936	0.047976907	0.3325669	0.12163131	0.080152735	0.018515844	0.14247948	-0.015077897253955858
0.06671281	0.20286977	0.024299443	0.33530515	0.103522815	0.11684737	0.039942212	0.11050033	-0.013034202737323178
0.15365285	0.28937593	0.024531899	0.15213548	0.19164073	4.810177e-10	4.8246396e-10	0.18866314	0.030199480524120227
0.14072442	0.21844974	0.042814855	2.7401115e-10	0.20743155	0.12370647	0.0845738	0.1822991	0.023530092450266216
0.03723134	0.24406336	0.0123132635	0.10038686	0.19140175	0.20130987	2.0935315e-10	0.21329354	-0.011895369162690576
0.048254635	0.24124269	0.017419849	0.26258498	0.121996045	0.13846222	0.030740166	0.13929945	-0.014334089546876278
0.060083732	0.24173243	0.018317098	0.413867	0.09640895	0.08504533	2.2971143e-10	0.08454544	-0.017618166660213617
0.029806366	0.21696858	0.010026057	0.48065138	0.068296395	2.589475e-10	0.035827853	0.15842341	-0.018333725494921654
0.05333174	0.29201612	2.3043514e-10	0.35610867	0.08381211	0.113821134	0.02259063	0.07831964	-0.019423932423030574
0.035719257	0.20435527	0.018859865	0.35116258	0.068006136	0.1890163	0.04088516	0.091995455	-0.021205759177823906
0.048443627	0.20315206	0.02090778	0.4146783	0.0887365	0.1384054	0.028699933	0.05697636	-0.022257494714462336
0.031352323	0.20688778	0.019154646	0.4733787	0.059074856	0.13693464	1.6439484e-10	0.07321702	-0.023186730457502858
0.07515668	0.20500277	0.0072704777	0.32988387	0.104208104	0.1772833	0.04484665	0.056348063	-0.019307911098756098
0.0823718	0.2134381	0.024695275	0.2488046	0.15590824	0.11891113	0.06848173	0.0873891	-0.013380982843017777
0.08535834	0.28974164	0.021605965	0.14952001	0.17610353	0.11557097	0.028827887	0.13327162	-0.005026089273156172
0.14710298	0.29798374	0.03582354	3.1156977e-10	0.20885098	0.09695013	0.06081301	0.15247555	0.017081437786500217
0.066250935	0.30959284	0.01723215	0.10139233	0.21803953	0.10836538	0.057666272	0.12146062	-0.011684018496418376
