B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.14337559	0.09396592	0.19402665	3.4772367e-09	3.4876517e-09	0.27913052	0.228671	0.060830224	-0.010334639266113457
3.1077585e-09	0.13742843	0.08408786	0.26649925	0.11370351	0.25823918	0.14004175	3.108802e-09	-0.027777777777777755
0.18066885	0.27279946	0.11235318	0.32494327	0.0686597	3.0516891e-09	0.040575553	3.0422915e-09	-0.027777776678483163
0.08401376	0.16789247	2.2615063e-09	0.38337117	0.07914509	0.09386705	0.15054016	0.041170325	-0.020860030170433776
0.19189146	0.13056913	0.064898774	0.119256966	0.03835366	0.3360363	0.11899369	3.188604e-09	-0.02777777655404602
0.058549028	0.32799926	2.5794735e-09	0.22323291	0.04450945	0.2833288	2.5815112e-09	0.0623806	-0.020473130785664175
0.083940595	0.07222407	0.03775336	0.25795203	0.10526703	0.39361447	0.049248397	1.3058166e-09	-0.027777777558555733
0.06486279	0.14696683	0.046619162	0.20499644	0.08947572	0.3429827	0.058299504	0.045796778	-0.021836764189596534
0.033500124	0.08807132	0.030368	0.265308	0.06699145	0.36961347	0.0747715	0.07137616	-0.022995557356490098
0.09081375	0.114257865	0.028398411	0.30425337	0.20785725	0.08183418	0.0831898	0.08939531	-0.011541131110752775
0.10012172	0.18704695	0.048966896	0.13914146	0.15287672	0.13312803	0.052528672	0.18618952	0.009505452198971025
0.11729277	0.2019639	0.041398004	0.11121814	0.1527424	0.19534878	0.03075984	0.14927621	0.007240262554225621
0.20854978	0.18875952	0.0056258645	0.17637394	0.15631853	0.111582175	0.02457675	0.12821338	0.025699966606335015
0.21212262	0.1841914	0.028561207	5.638676e-10	0.15908822	5.6548854e-10	0.06858343	0.3474532	0.11962758844499023
0.10261554	0.08245333	0.0056060283	0.15760687	0.16352129	0.12705441	0.015319268	0.34582326	0.043195903361143026
0.058253262	0.05398273	0.0055114087	0.3981956	0.24561715	0.05424106	0.032848228	0.15135056	-0.010144450126724335
0.07376805	0.054051276	0.0016511524	0.31607273	0.23560418	0.13881023	0.0021885878	0.17785384	-0.0015379158541537728
0.07041623	0.090618476	0.010578213	0.24649727	0.21291776	0.12390443	0.024917055	0.22015049	0.0032265572991276234
0.13161005	0.17958586	2.572153e-09	0.108680196	0.018746056	0.3652158	0.17271575	0.023446208	-0.021606264563396975
2.2290634e-09	0.17514871	0.15995596	0.16340448	2.2209279e-09	0.44424543	2.2186162e-09	0.057245392	-0.02777777752257056
0.08815606	0.13071197	0.028866608	0.33635247	0.07964937	0.3126077	0.023655742	1.5261554e-09	-0.027777777508698084
2.3811073e-09	0.097975284	0.03700711	0.22422923	0.08157618	0.43855906	0.05743371	0.0632195	-0.02777777747671295
0.072217874	0.18568006	0.012506238	0.17616904	0.09574217	0.3384987	0.035578568	0.08360729	-0.015701896308374853
0.05733487	0.1106053	0.03207066	0.26536644	0.08347159	0.3541982	0.033938188	0.06301477	-0.020551890485717976
0.027617719	0.14278995	0.034155235	0.24413544	0.21271937	0.2159539	1.3079647e-09	0.1226284	-0.021004344392538576
0.1072488	0.14133812	0.017684704	0.275431	0.18030766	0.1417329	0.042214673	0.09404213	-0.007605966593889776
0.07950633	0.20398553	0.053875476	0.2324248	0.11212951	0.1660539	0.07641888	0.075605534	-0.015755540705717337
0.112264276	0.23732248	0.11089543	7.4119855e-10	0.1678081	0.21079226	0.064311296	0.096606165	-0.0060869354360546975
0.15004323	0.15878879	0.033211146	7.373442e-10	0.18405525	0.1151392	0.07184151	0.28692088	0.05832329340150702
0.2209154	0.15061955	0.040934924	0.13481225	0.1395156	0.12342833	0.02451937	0.16525462	0.04523680318051822
0.11999434	0.08940791	0.01118099	0.28671196	0.1773199	0.04685465	0.05628586	0.2122444	0.023158475615614224
0.08627232	0.08549521	0.013378546	0.42485562	0.1424076	0.10347132	0.022839585	0.12127982	-0.006851594896612977
0.12063635	0.12832287	0.0133134015	0.2971815	0.21200192	3.1544642e-10	0.05118132	0.17736262	0.015014980428696222
0.13599987	0.11311536	0.02284988	0.17126167	0.09990603	0.25822064	0.16181149	0.036835093	-0.017758642058901958
0.19452396	5.331305e-09	0.036869444	0.21905994	0.24705905	5.3282045e-09	0.19720766	0.105279915	0.013181154170749027
