B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.061491046	0.25308543	3.5800005e-10	0.5469347	0.07864569	3.596604e-10	0.045732114	0.014110996	-0.026042377969494143
0.08187683	0.23519363	0.0039320714	0.53318065	0.06686097	0.06552759	0.008449456	0.0049788444	-0.026962473784707272
0.031201648	0.15066616	0.0042135003	0.54518855	0.04292518	0.17030601	0.036017865	0.01948111	-0.026562092304039216
0.010040564	0.15475266	0.014395869	0.5508842	0.0055452143	0.20111291	0.030627672	0.032640923	-0.02712231122497663
0.03437989	0.11952314	1.5464408e-10	0.6587504	0.0038643067	0.17003706	0.013445194	1.5549413e-10	-0.027777777767086034
0.0176812	0.03888646	0.0018673182	0.8236762	1.95395e-10	0.08489768	0.03299106	1.9530744e-10	-0.027777777770871235
0.046985604	0.12866461	0.0018813313	0.6027762	0.005890844	0.1759501	0.027826246	0.010024929	-0.026835723089533543
0.00992895	0.14401579	0.005798476	0.49360657	0.037721924	0.29169783	1.4100572e-10	0.017230473	-0.027435616767991076
0.04824028	0.14652048	0.009995743	0.53159165	0.022900147	0.1950335	0.023881555	0.021836683	-0.025670962373395296
0.009479548	0.18717374	0.059374988	0.37832284	0.05539855	0.18524083	0.08049142	0.044518076	-0.02693375530115848
0.011317687	0.1455681	0.016364496	0.61013037	0.045659725	0.076933965	0.044478044	0.049547613	-0.026656249026715515
0.052701544	0.1223274	0.011604288	0.50859606	0.050434496	0.15313128	0.06364185	0.037563104	-0.023818510621312624
5.40533e-07	5.399498e-07	5.4208897e-07	0.99999595	5.414462e-07	5.421799e-07	5.424923e-07	5.418006e-07	-0.027777777777192054
0.0217135	0.16096452	0.02003377	0.4032698	0.032820564	0.2706185	0.0625107	0.028068712	-0.026558837821753778
0.021951435	0.07017683	9.221059e-11	0.84461325	9.2421e-11	0.063258454	9.253954e-11	9.222237e-11	-0.02777777777372895
1.7891748e-10	1.7901408e-10	1.7838726e-10	0.853546	1.7819614e-10	0.12423645	0.020298565	0.0019189595	-0.027777777777091107
0.045385122	0.14753397	0.006859276	0.56251967	0.03478266	0.1803292	0.009800859	0.012789176	-0.026616901151698832
0.030888848	0.17772919	0.002413157	0.36109588	0.06634464	0.3237573	0.00849899	0.029271998	-0.02596942118402117
0.027107753	0.17441504	0.0034055323	0.47928476	0.05428474	0.22357781	0.010520045	0.027404333	-0.02629203799759028
0.084091745	0.20675297	0.13579091	3.3347283e-10	0.11239167	0.24339059	0.18353437	0.034047704	-0.022051516092570816
0.037603155	0.103580475	0.014114375	0.7433614	1.893447e-10	0.035649907	0.06258779	0.003102906	-0.027544419667240916
0.057390824	0.15671346	0.006216714	0.6631158	0.002625514	0.05991153	0.04574491	0.00828121	-0.026827246846543695
0.028636066	0.14000502	0.012612741	0.5614774	0.05090794	0.12067961	0.051528648	0.034152534	-0.025821789342395287
0.011247368	0.1288216	0.022845311	0.49008375	0.057462335	0.21324007	0.05053517	0.025764406	-0.02719821426661096
0.034148663	0.19768192	0.007601993	0.40931705	0.032039896	0.2233791	0.057528615	0.038302843	-0.02516179602267996
0.041429896	0.11956266	1.0303661e-10	0.7133062	1.03196306e-10	0.10778765	0.010120641	0.007793009	-0.02713205067298365
0.0392573	0.10975023	1.4640089e-10	0.6302679	0.008305715	0.19100091	0.018502707	0.0029151577	-0.027548895337025356
0.046402477	0.14763118	0.026651157	0.3362314	0.03607317	0.33029833	0.056173295	0.020538941	-0.025871662303064064
0.009060476	0.14609842	0.023866516	0.318626	0.09192586	0.349041	0.019954657	0.041427094	-0.027027079395904288
0.053334262	0.1511663	0.008370556	0.2673867	0.094581954	0.4055646	0.008855173	0.010740486	-0.026632105989115112
0.03233277	0.12774837	0.052310314	0.2843988	0.05785717	0.30683222	0.12048718	0.018033115	-0.026611656658420677
0.024921663	0.32429305	0.04168798	0.24784082	0.11991419	0.12679751	0.0977829	0.016761828	-0.026942312520417847
0.0037689935	0.07899408	0.0066666696	0.721579	2.523632e-10	0.13394861	0.05504257	2.5302205e-10	-0.0277777777758705
0.04707838	0.16177052	0.013097424	0.48720506	0.03529906	0.14854214	0.04924331	0.05776418	-0.022338889744920976
0.03064561	0.15622002	0.013545695	0.36112112	0.091166794	0.24901578	0.023391021	0.07489399	-0.023187433760009975
0.03712214	0.16701159	0.024454907	0.4413867	0.03760946	0.24455877	0.021242732	0.02661369	-0.025801863525584577
0.045348343	0.13561773	0.02141695	0.54712397	0.044938006	0.14018536	0.065369636	1.967158e-10	-0.027777777759936305
0.02135002	0.0796898	0.008004378	0.7440678	2.0019417e-10	0.11946635	1.9987328e-10	0.02742169	-0.026606870517910178
0.05109782	0.1581324	1.968907e-10	0.5236403	0.035160277	0.16932967	0.054032803	0.00860668	-0.026898212606902575
0.03435392	0.16464174	0.009223721	0.4212173	0.06908625	0.2503541	0.022220284	0.02890268	-0.025791937064766575
0.03546514	0.15250136	0.00444765	0.439234	0.10469472	0.19577104	0.052549023	0.0153370565	-0.026689916065856956
0.056925356	0.20031565	0.0035454098	0.54006636	0.052917466	0.116492786	0.011012544	0.01872444	-0.025645986951976497
0.050168063	0.18543378	0.02094385	0.4150918	0.07507471	0.18781452	0.04211992	0.023353329	-0.02543459521671432
0.057465263	0.22915132	0.068791784	0.35532925	0.06776329	0.111983106	0.10264476	0.0068711773	-0.026988069756449518
0.018524198	0.12267104	0.02117034	0.5861397	0.027621068	0.16785087	0.049543004	0.0064797737	-0.027537712555749792
0.02329618	0.14515674	0.0035806566	0.59790355	0.009719461	0.13235211	0.0728864	0.015104926	-0.027074003627812416
0.062541485	0.19875047	0.023041766	0.41076383	0.052481085	0.17991476	0.030462764	0.042043913	-0.022518800269316165
0.021661773	0.18310614	0.0076923287	0.541971	0.03164056	0.16185106	0.023458183	0.028618943	-0.026537903684245898
0.04931482	0.16913694	0.0037831347	0.5822001	0.030120835	0.14811979	0.007897556	0.009426797	-0.026848016183314696
0.02200197	0.188267	1.7544406e-10	0.48356614	0.042823374	0.19755766	0.029330347	0.03645359	-0.026173676190633176
0.052580405	0.07160348	1.521155e-10	0.80908483	1.5270968e-10	0.04176646	0.005341603	0.019623145	-0.025714191954830327
0.023191338	0.14025725	0.0132423	0.47594592	0.06364305	0.21657099	0.04576759	0.021381576	-0.0267860430658004
0.033912748	0.07234657	0.007249463	0.77142435	0.017992267	0.08583342	1.6698914e-10	0.01124121	-0.027015337133887617
0.06617147	0.13292558	0.024473278	0.49279708	0.04194449	0.19510181	0.030914396	0.015671937	-0.025703707559702995
0.029106017	0.17282945	0.014182365	0.37972397	0.040243957	0.28908095	0.052090697	0.022742644	-0.02645388221199988
0.03378527	0.124588035	0.0149990935	0.5847092	0.02871754	0.1465677	0.059562672	0.007070464	-0.027300022707247216
0.003615181	0.0848362	0.0051958337	0.7174569	2.2171381e-10	0.13877188	0.05012401	2.2211635e-10	-0.027777777776171794
