B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.024079058	0.06306479	0.018132601	0.44414806	0.06829961	0.26773596	0.080026396	0.034513548	-0.02611567032962221
0.052507885	0.027526405	0.03900609	0.45393524	0.105399705	0.1109816	0.14124954	0.06939353	-0.02049036279180968
0.056995384	0.044040862	0.016757375	0.4415987	0.09050355	0.14871646	0.13844468	0.06294296	-0.020602861427184496
0.01798955	0.07770313	0.044236176	0.42234674	0.11039799	0.1519371	0.0725046	0.102884755	-0.024076076889157277
0.012217798	0.05751237	0.04258687	0.41954193	0.089848235	0.18940724	0.11602769	0.07285792	-0.025997451079257456
0.034635674	0.07732288	0.013754951	0.3534199	0.10471814	0.24397203	0.089331076	0.08284538	-0.022038966629605538
0.04392371	0.10075992	0.0015956443	0.3311912	0.11187706	0.18337198	0.105235085	0.12204535	-0.017056408657280777
8.016342e-10	0.036399003	8.019431e-10	0.50210655	0.15518732	0.15972638	0.06975034	0.07683037	-0.02777777765459807
0.06844362	0.10181406	0.024268042	0.4168984	0.12673458	0.14337507	0.09506536	0.023400959	-0.024574485086914618
0.0050159865	0.12559934	0.06762759	0.28665093	0.13629732	0.21074893	0.036464944	0.13159494	-0.026457620892761158
0.024301996	0.10226834	0.03979538	0.25844872	0.16247131	0.15002498	0.05095823	0.21173105	-0.017486803517426177
0.20547615	0.08908922	0.030814432	0.09671732	0.16188224	0.0798361	0.022645319	0.31353918	0.10107186938333622
0.16321594	0.09170197	0.019788997	0.20681801	0.16059165	0.04090226	0.034314282	0.28266698	0.06449373591754463
0.24782112	0.08885375	0.009548459	1.6731518e-10	0.18685903	1.6808542e-10	0.075224705	0.3916929	0.16636176857031826
0.15197262	0.10553297	0.015073348	0.18207836	0.18251862	0.10431743	0.028171815	0.23033488	0.04223141260419343
0.14710118	0.14602832	0.0060005393	0.17526788	0.25249684	0.07343689	0.040852156	0.15881616	0.018946311300359828
0.121219896	0.09535258	0.02982777	0.39237514	0.03132533	0.18116547	0.09584555	0.052888334	-0.014955541083591248
0.012148237	0.09400666	0.011882303	0.45258933	0.03944428	0.29015636	0.04224725	0.057525575	-0.026380109140455226
0.02981284	0.08608699	0.017155185	0.42721742	0.04379329	0.25130382	0.076025374	0.06860506	-0.023687154423836974
0.10987731	0.1534631	0.01630366	0.44446704	0.07919746	0.13162147	0.03331265	0.03175725	-0.020798975371782776
1.0459762e-09	0.10890346	1.0408219e-09	0.36949378	0.0798701	0.3271463	0.027037	0.087549314	-0.02777777759462878
0.022616243	0.07564821	0.0305934	0.43996063	0.05537418	0.30010706	0.02104721	0.05465303	-0.025305685363445195
0.037831455	0.07852423	0.04031087	0.3615794	0.08254877	0.20939179	0.08829927	0.101514205	-0.020096917621141228
0.048507556	0.14040813	0.026790284	0.4183984	0.0899518	0.17916793	0.051263195	0.045512795	-0.023362348873419737
8.3232754e-10	0.21992148	0.035987068	0.29056665	0.13293125	0.20245582	8.3088575e-10	0.11813774	-0.027777777581119188
0.1252569	0.12504493	0.1249	0.12520815	0.12521484	0.12482616	0.1247876	0.124761425	0.0034766808923872225
0.016566033	0.13297382	0.05862282	0.37669057	0.16366963	0.07070941	0.082175165	0.09859256	-0.024511202572748816
0.086428896	0.12104875	0.014246024	0.36695817	0.1993	0.06131165	0.056684513	0.09402204	-0.011525335544042094
0.038899504	0.12874754	0.09858568	0.2185664	0.15963183	0.14857766	0.06483719	0.14215423	-0.016718319700773934
0.22002292	0.13666731	0.041509796	0.07756036	0.17498682	0.0712797	0.049619537	0.22835347	0.07270821674528703
