B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
3.0519e-09	3.0413647e-09	0.014630327	0.15515985	0.0852843	0.40173522	0.22607943	0.11711088	-0.027777777062956387
0.017134864	0.08439555	0.09203425	0.37946832	0.21093816	2.4265328e-09	2.4287556e-09	0.21602888	-0.020374526820033136
0.3380206	0.19129623	7.440528e-09	0.2514986	7.4481528e-09	0.21918453	7.429991e-09	7.4429125e-09	-0.027777772746062277
6.7566015e-09	0.14146745	0.028193265	0.34264797	0.03594335	0.28865284	0.083656676	0.079438515	-0.027777776704308997
0.23159404	0.09518042	0.0044143656	0.2011856	0.18163468	0.18131481	0.10467608	2.00108e-09	-0.027777776850901374
1.6092288e-09	0.042250834	0.009148418	0.20749007	0.15613662	0.28320548	0.16154683	0.14022186	-0.027777777326479666
1.3756246e-09	0.05461878	0.027030032	0.29814932	0.20403604	0.12976259	0.12876965	0.15763356	-0.02777777734408857
0.09150143	0.17875114	1.0182056e-09	0.13201864	0.303684	0.11790245	0.060577307	0.11556507	-0.006629039451677577
1.5791184e-09	0.103986144	0.055479094	0.14347243	0.1789207	0.17638284	0.08271143	0.2590474	-0.027777776959644746
0.089530535	0.14411128	1.6108687e-09	1.6042426e-09	0.21440506	0.18385954	0.20901176	0.15908176	0.0007075723853054196
0.12760215	0.094374865	0.011373013	0.10102539	0.08984776	0.3326214	0.22147551	0.021679929	-0.022244966673283077
0.1375862	0.08835473	0.049502756	1.3987025e-09	0.12034031	0.2765803	0.17600438	0.15163133	0.013946979213514225
0.18968613	0.12757584	0.041053627	0.1236768	0.1152989	0.1444648	0.16307639	0.09516744	0.008326109013436625
0.16790873	0.09847619	0.033263393	0.24839528	0.0950245	4.9707455e-10	0.20385094	0.15308098	0.023629488100133024
0.09918518	0.06440521	0.034820188	0.3209742	0.13292994	0.13932687	0.10979015	0.09856819	-0.008224770442929377
0.11136195	0.06316241	0.017720878	0.154352	0.17334644	0.33810297	0.08601206	0.05594128	-0.015318317725185776
0.12494568	0.12496808	0.12511165	0.1250408	0.12504557	0.12504557	0.124752074	0.12509064	0.0034812923750926275
0.06607181	0.0707808	0.0066945553	0.29879954	0.20143583	0.20340836	0.15280911	2.0972313e-09	-0.027777777500642042
0.08483606	0.097115755	0.06549608	0.15639442	0.17382163	0.20642936	0.18472663	0.031180056	-0.022487391574539058
0.21677211	0.40806243	4.6050865e-09	0.25595805	4.6287485e-09	4.626595e-09	0.11920739	4.6285367e-09	-0.027777775771102443
0.15993781	0.061125897	0.087861456	1.7308882e-09	0.067841426	0.3426045	0.17426403	0.1063649	0.006245760555960225
0.20698746	0.14544085	0.039557446	0.21646054	0.12873772	0.17580226	0.0870138	2.3176734e-09	-0.027777776818319114
0.15001164	0.15152107	0.014594257	0.15906498	0.19757125	2.0082829e-09	0.09143066	0.23580615	0.04296955678939422
0.12586974	0.15025087	0.05566865	0.19873108	0.2419256	1.4772515e-09	0.011716932	0.21583712	0.026556946575719824
0.15123472	0.07523181	0.03757909	1.5828974e-09	0.24805212	0.1629873	0.1298189	0.1950961	0.03123283033540622
0.10265785	0.17193702	0.019071113	0.18988545	0.12492681	0.12242195	0.1604056	0.108694196	-0.005461152840100576
0.05696661	0.16696216	0.06158846	6.144715e-10	0.13986634	0.31094095	0.14852189	0.11515351	-0.014657967589175576
0.21306895	0.14626552	0.049955495	0.15294512	0.16482012	5.4568366e-10	0.08828809	0.18465672	0.050911449103910225
0.07432683	0.05708765	0.039152265	0.27172813	0.18556318	0.1241992	0.120629236	0.12731352	-0.008852157062294575
0.10845256	0.18507046	0.1022351	0.19323406	0.13683072	0.16721112	0.05857376	0.04839225	-0.017281250984457777
0.16153057	0.11983875	0.116633296	0.26312986	0.18788624	2.0684006e-09	0.023367615	0.12761363	0.01344922700956043
0.16243705	0.14953963	0.020712815	0.22360857	0.08505242	0.26763093	0.09101851	3.1920238e-09	-0.027777776740771917
0.09394161	0.021370655	0.012884266	0.16050604	0.23704067	0.3532	0.121056795	2.6458895e-09	-0.027777777280659537
0.2294213	0.018007033	3.495475e-09	0.35324356	0.1336805	3.4901186e-09	0.17839931	0.08724834	0.012255477393506221
0.044961516	0.10508325	2.3129263e-09	0.24278489	0.17343435	0.2235133	0.054052144	0.1561706	-0.013734443916518577
0.16388905	0.068662316	0.058848765	2.8162717e-09	0.32450303	2.8244591e-09	0.17017263	0.21392421	0.04234189332002322
0.14701012	0.20675209	0.03987299	1.4447856e-09	0.24333364	1.4414882e-09	0.07771656	0.28531465	0.05611050409073823
0.11320495	0.15344831	0.008689894	9.220399e-10	0.22778389	9.2321006e-10	0.07959327	0.41727966	0.06669846831485622
0.10335402	0.2065126	0.013132466	0.056677923	0.1097584	0.3327193	0.040688988	0.13715631	0.0005735342359546244
0.14553504	0.14808062	0.07818793	0.07957691	0.15231313	0.13908623	0.09833601	0.1588842	0.018468659026958226
0.12819079	5.438123e-10	0.0521922	0.32907256	0.14182152	5.4488686e-10	0.20398104	0.14474192	0.009331384364055825
0.07079038	0.05787009	0.053464416	0.22502209	0.1828146	0.13445327	0.10159192	0.17399324	-0.0031436826237153763
0.070732266	0.19934529	0.07779514	0.20923135	0.16217694	0.13746548	0.05052782	0.09272574	-0.014660374364324096
0.047549587	0.10425981	0.051238425	0.115201	0.13771698	0.27479762	0.13658151	0.13265507	-0.015162390193865595
0.2661586	5.111677e-09	0.045201674	0.42571664	0.14829507	5.114437e-09	0.11462805	5.099475e-09	-0.027777775063239522
0.07765714	0.082218796	0.054132886	0.4210796	0.055651773	0.16420653	0.06093464	0.084118515	-0.014712971185883576
0.03082205	0.16796455	3.9382413e-09	0.18138982	0.2008309	3.926406e-09	0.08985174	0.32914084	-0.007488186922733776
0.1404061	0.17156154	0.011817273	1.4542326e-09	0.14719461	0.15091717	0.108430885	0.26967242	0.04794952776174623
0.034047317	0.19596387	0.12758024	1.4939946e-09	0.32793224	0.15605369	1.4915005e-09	0.15842263	-0.016990046770610355
0.15122709	0.14551473	0.026488293	0.1414322	0.20931736	0.18537919	0.09002962	0.050611448	-0.012470133774325135
0.058380768	0.1336561	0.056073792	0.1327397	0.15575254	0.11857017	0.10410005	0.24072693	0.00032986832558670395
0.10016952	0.30684096	0.15111105	8.5975393e-10	0.117954694	0.1825157	0.04230081	0.099107236	-0.007922729260484335
3.013729e-09	0.16705264	0.026087662	0.27480835	0.086971246	0.31558108	3.0137346e-09	0.12949903	-0.02777777699722781
0.2099061	0.26676285	0.03794571	0.28377622	4.2993937e-09	4.3161714e-09	0.04841021	0.153199	0.036537031450022225
2.8267506e-09	0.069994815	0.11527464	0.32842875	0.2473616	2.81148e-09	0.16953069	0.06940952	-0.02777777738537097
0.3920537	0.09577113	0.13182165	4.2440362e-09	4.2461576e-09	4.2488555e-09	0.38035348	4.2436477e-09	-0.02777777445030221
0.04650213	0.22979052	0.040104166	0.29882243	0.15684621	5.5899694e-09	0.027193539	0.20074095	-0.009108014271330775
3.756955e-09	0.22105287	3.7496175e-09	3.7435717e-09	0.099937394	0.18849556	0.13219966	0.35831454	-0.02777777508543457
8.577592e-09	8.556202e-09	0.09977274	0.24153715	8.59641e-09	8.555974e-09	0.19682719	0.46186283	-0.027777769854435946
0.17520805	0.23849812	4.332539e-09	0.19572245	0.07625073	0.19417043	4.350509e-09	0.12015018	0.01432477971212022
3.8741765e-09	0.07488944	3.8512855e-09	0.26566657	0.16476011	0.23935091	0.13702579	0.11830714	-0.027777776861092292
0.11241353	0.28834933	0.0758165	0.17568688	0.34773374	5.4904277e-09	5.497291e-09	5.4961484e-09	-0.02777777654209489
0.15644234	0.08388447	0.05206338	0.16548912	0.11807402	0.346475	0.077571556	2.2835243e-09	-0.027777777063298006
0.1335806	4.7188604e-09	4.731803e-09	4.745586e-09	0.17776924	0.4177055	0.17687984	0.09406479	-0.002647315603629779
0.2643885	0.066009045	0.008279943	4.961534e-10	0.21323234	0.086480625	0.085815065	0.27579448	0.11805599997318224
0.034844104	0.14599818	4.6906448e-09	0.24538894	0.2168889	0.1383111	0.1696314	0.048937388	-0.02436741890385707
0.054806396	0.18545364	0.024793902	0.112425454	0.069928385	0.3011327	2.7071807e-09	0.25145948	-0.00021460210010961628
0.07710074	4.386902e-09	0.07407477	0.2573337	0.31064358	0.28084728	4.368074e-09	4.365592e-09	-0.02777777710459703
0.040771548	2.7282823e-09	2.7183091e-09	0.4406761	0.034638405	0.14279291	0.22132887	0.119792126	-0.01800955694731568
0.25875407	0.40655974	1.0167938e-08	0.25725922	0.0774269	1.0176105e-08	1.0165436e-08	1.0165785e-08	-0.02777777251690129
0.24056683	5.390871e-09	0.056055836	0.25899333	0.16941783	5.3905e-09	0.27496618	5.3959215e-09	-0.027777775181618315
0.14688013	0.10213775	0.042997055	3.1701328e-09	0.19745205	0.13533527	0.15188529	0.22331245	0.03782254559545922
0.12604073	0.028312977	3.5705756e-09	0.26037404	0.059310067	0.22176242	0.25212243	0.052077282	-0.014650060498386056
5.4552154e-09	0.31944656	0.059379663	0.21675012	0.10093333	0.06681519	5.451887e-09	0.23667514	-0.02777777519555004
0.15757367	0.2231629	4.6663664e-09	0.19431615	0.09022118	0.25646502	4.6633497e-09	0.07826107	-0.003114009741723975
0.044686187	4.8510835e-09	0.188067	0.19891857	0.08726908	0.10635121	0.11623487	0.2584731	-0.004677423215638375
0.25553232	0.06116443	5.042742e-09	0.3575185	0.11433244	0.21145228	5.0375695e-09	5.061667e-09	-0.027777775190938752
0.050835688	0.096202806	4.582211e-09	0.18163025	0.15369417	0.2858208	0.1344645	0.09735175	-0.01787989139926978
0.112561494	0.114471875	0.017139938	0.12532899	0.11458912	0.23739575	0.20293997	0.07557282	-0.010764598727791615
3.8393146e-09	0.25128937	3.8396153e-09	0.3442057	0.048351016	0.15117007	0.122060284	0.08292355	-0.027777777141038584
