B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasma Cells	PVL	T-cells	TLS
0.1374837	0.30005297	0.026653556	5.5825033e-10	0.18165012	0.18482293	0.046077415	0.12325926	0.006114500470346222
0.06568065	0.24398042	0.030323638	0.15417506	0.14148076	0.10003415	0.06296157	0.20136377	-0.0013263711776767793
0.046681326	0.33826828	0.008653738	0.12732941	0.20177855	0.14028518	0.018284151	0.11871942	-0.016693817882675935
0.02098614	0.2710733	0.0055592326	0.35484627	0.08101018	0.10904254	4.2990975e-10	0.1574823	-0.021167886587133776
0.048860386	0.24651852	0.0029914863	0.36921835	0.093114436	0.09928765	0.036094397	0.10391474	-0.017623149162798495
0.041656796	0.15793365	3.2181835e-10	0.68975455	0.036397703	0.058410857	3.2354902e-10	0.015846523	-0.02645754702593716
0.060368106	0.1518466	0.017207544	0.6304024	0.04534046	0.039220836	0.021153726	0.03446032	-0.023617169276669937
0.020114027	0.1119323	3.7562203e-10	0.67078936	0.03162003	0.09385222	0.020110771	0.051581345	-0.025702760645725145
0.04147225	0.08310711	0.0039137267	0.74263144	0.026840676	0.056607414	0.020414025	0.025013302	-0.025703061950038776
0.04373048	0.23441748	0.013986906	0.3978725	0.115070455	0.08875937	0.01819215	0.087970674	-0.020083778177890737
0.028982235	0.18526274	0.016149724	0.39339644	0.103912614	0.09602784	0.035708442	0.14055997	-0.019630293613511877
0.023132915	0.2083897	0.019543437	0.3475142	0.16707537	0.05934735	0.011137368	0.1638596	-0.020196677380309776
0.07360274	0.2334815	0.015384001	0.2693742	0.13302115	0.117736176	0.07470275	0.08269748	-0.015604255539587376
0.025234679	0.2908126	0.05277883	0.14003213	0.20084095	0.111989185	0.114757404	0.06355421	-0.024570237600880597
0.08541547	0.35011226	0.022936901	0.15862787	0.13989368	0.10542475	0.04118042	0.096408665	-0.011308194911682678
0.09898682	0.35294107	0.03062262	3.2852074e-10	0.18730846	0.10533838	0.062782384	0.1620203	0.0042979707671142245
0.082085624	0.29616287	0.005554268	0.23468845	0.11493651	0.09534002	0.028442932	0.14278936	-0.004335870345456495
0.05936239	0.20455925	0.033935968	0.23328397	0.15610602	0.1326124	0.0567144	0.123425536	-0.013124108169795696
0.09065196	0.29730996	0.00700268	7.651558e-10	0.21988602	0.18736252	7.6622486e-10	0.19778687	0.008081757077752626
0.115990944	0.25630763	0.015750244	3.8854756e-10	0.22454561	0.11858376	0.027909156	0.24091263	0.02810958897266766
0.081762776	0.27540445	0.024669493	0.09656673	0.18274407	0.115325585	4.2593462e-10	0.2235269	0.008774581931571025
